"Reference","Value","Datasheet","Footprint","Qty","DNP"
"AE1","Antenna","~","","1",""
"C1","10n","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C2","33nF","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C3","1n","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C4,C5","22pF","~","Capacitor_SMD:C_0402_1005Metric","2",""
"C6","1p5","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C7,C9","C_Small","~","Capacitor_SMD:C_0402_1005Metric","2",""
"C8","1p","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C10,C11","Cx","~","Capacitor_SMD:C_0402_1005Metric","2",""
"J1","Conn_01x08_Pin","~","Connector_Hirose:Hirose_DF13-08P-1.25DS_1x08_P1.25mm_Horizontal","1",""
"L1","8n2","~","Inductor_SMD:L_0402_1005Metric","1",""
"L2,L4","3n9","~","Inductor_SMD:L_0402_1005Metric","2",""
"L3","2n7","~","Inductor_SMD:L_0402_1005Metric","1",""
"R1","22k","~","","1",""
"R2","10M","~","","1",""
"U1","NRF24L01","http://www.nordicsemi.com/eng/content/download/2730/34105/file/nRF24L01_Product_Specification_v2_0.pdf","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","1",""
"Y1","16MHz","~","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","1",""
